Accession,Origin,Group,Starch,Protein,Oil,Fib,Ash,Density
Ames22020,"US, Connecticut",sweet corn,59.46,13.9,5.63,0.69,1.01,1.32
Ames22021,"US, Connecticut",sweet corn,59.07,15,5.44,0.29,1.01,1.35
Ames22023,"US, Connecticut",sweet corn,59.38,14.87,4.93,0.8,1.09,1.33
Ames22027,"US, Iowa",sweet corn,63.65,10.29,5.66,0.18,0.94,1.35
Ames22028,"US, Iowa",sweet corn,62.91,11.18,2.79,0.85,0.75,1.31
Ames22029,"US, Iowa",sweet corn,59.43,12.61,5.91,0.68,0.93,1.32
Ames22030,"US, Iowa",sweet corn,58.5,13.08,5.92,0.48,0.97,1.33
Ames22033,"US, Illinois",sweet corn,63.34,11.28,4.49,0.15,0.91,1.37
Ames22034,US,sweet corn,58.39,13.66,6.41,0.36,1.12,1.34
Ames22035,US,sweet corn,66.2,11.29,3.26,0.03,0.93,1.38
Ames22036,"US, Massachusetts",sweet corn,59.68,12.9,4.75,0.46,0.83,1.34
Ames22038,"US, Maine",sweet corn,57.91,13.3,5.46,0.64,0.98,1.32
Ames22039,"US, Maine",sweet corn,58.67,13.97,5.43,0.33,1.07,1.35
Ames22041,"US, Maine",sweet corn,60.74,13.09,4.36,0.98,0.96,1.31
Ames22048,"US, Indiana",sweet corn,63.08,11.41,5.98,0.15,1.05,1.36
Ames22049,"US, Indiana",sweet corn,63.34,10.22,6.21,0.12,0.97,1.36
Ames22054,"US, Wisconsin",sweet corn,59.09,14.27,4.76,0.58,0.99,1.34
Ames22061,"US, Wisconsin",sweet corn,60.87,13.3,4.92,0.11,1,1.37
Ames22064,"US, Wisconsin",sweet corn,63.34,11.49,4.65,0.61,1.06,1.34
Ames22065,"US, Wisconsin",sweet corn,60.48,12.33,6.43,0.09,0.99,1.36
Ames22066,"US, Wisconsin",sweet corn,59.58,13.88,4.13,0.8,1.01,1.33
Ames23510,"US, Minnesota",sweet corn,58.71,14.01,5.51,0.57,1.04,1.33
Ames27119,"US, North Carolina",sweet corn,63.72,11.95,4.19,0.37,1.02,1.36
Ames27120,"US, North Carolina",sweet corn,60.91,11.47,4.48,0.73,0.84,1.32
Ames28364,"US, Iowa",sweet corn,57.17,14.82,4.43,1.04,0.93,1.29
NSL8581,"US, Indiana",sweet corn,54.82,11.47,8.97,0.48,1.12,1.31
PI233316,"US, South Dakota",sweet corn,59.16,14.69,5.07,0.43,0.99,1.34
PI233317,"US, South Dakota",sweet corn,60.57,13.11,5.83,0.43,1.04,1.34
PI358523,"US, Illinois",sweet corn,62.26,13.86,4.57,-0.01,0.9,1.37
PI550492,"US, Georgia",sweet corn,61.07,11.75,3.96,0.48,0.84,1.35
PI567792,"US, Minnesota",sweet corn,63.34,12.64,4.62,0.76,1.06,1.33
PI567793,"US, Minnesota",sweet corn,63.54,12.41,4.03,0.64,0.95,1.34
PI587135,"US, Iowa",sweet corn,66.13,10.72,3.3,0.68,1.04,1.35
PI644099,"US, Florida",sweet corn,50.2,16,8.65,1.87,1.25,1.21
PI644100,"US, Florida",sweet corn,45.95,14.59,12.98,1.74,1.36,1.18
PI644102,"US, Florida",sweet corn,60.67,14.88,4.13,0.22,1,1.36
Ames27072,"Mexico, Federal District",tropical,57.22,12.76,4.76,1.41,1.18,1.27
Ames27074,"Mexico, Federal District",tropical,55.54,15.36,5.19,1.39,1.06,1.28
Ames27076,"Mexico, Federal District",tropical,62.87,11.14,4.86,1.14,1.29,1.3
Ames27080,"Mexico, Federal District",tropical,62.23,12.03,3.71,1.1,1.25,1.3
Ames27083,"Mexico, Federal District",tropical,63.42,10.72,3.23,1.61,0.99,1.27
Ames27086,"Mexico, Federal District",tropical,59.08,13.22,4.16,0.89,1.07,1.32
Ames27087,"Mexico, Federal District",tropical,62.46,13.87,2.46,1.19,1.18,1.32
Ames27088,"Mexico, Federal District",tropical,58.71,12.66,4.85,0.74,1.3,1.32
Ames27093,"Mexico, Federal District",tropical,60.84,10.41,5.12,2.15,1.09,1.21
Ames27095,"Mexico, Federal District",tropical,58.11,13.16,4.69,1.12,1.17,1.3
Ames27096,"Mexico, Federal District",tropical,57.22,13.87,4.85,0.62,1.12,1.34
Ames27098,"Mexico, Federal District",tropical,57.32,14.38,5.52,0.85,1.23,1.32
Ames27099,"Mexico, Federal District",tropical,63.94,11.08,2.65,1.03,1.16,1.32
Ames27100,"Mexico, Federal District",tropical,61.44,12.48,2.97,0.97,1.12,1.32
Ames27125,Thailand,tropical,63.24,11.52,3.87,1.64,1.12,1.27
Ames27126,Thailand,tropical,59.06,13.85,3.89,1.2,1.02,1.3
Ames28184,Mexico,tropical,61.35,13.32,3.83,0.67,0.98,1.34
Ames28185,Mexico,tropical,61.26,13.66,3.07,1.21,1,1.31
PI506244,"Nigeria, Oyo",tropical,62.98,11.85,4.07,0.8,0.91,1.33
PI506246,"Nigeria, Oyo",tropical,60.94,12.87,5.07,0.92,1.09,1.31
PI506248,"Nigeria, Oyo",tropical,62.27,13.94,2.89,0.62,1.18,1.36
PI506250,"Nigeria, Oyo",tropical,65.84,10.66,2.83,1.19,1.2,1.31
PI540741,Nigeria,tropical,56.34,15.51,3.83,1.25,0.96,1.3
PI540745,Nigeria,tropical,62.67,11.4,4.13,1.25,1.13,1.3
PI540747,Nigeria,tropical,65.97,9.94,3.07,1.08,1.15,1.33
PI550900,Cameroon,tropical,64.39,10.61,3.27,1.12,1.02,1.32
PI550901,Cameroon,tropical,64.39,10.72,2.81,1.34,1.14,1.3
PI550902,Cameroon,tropical,62.74,11.55,3.31,1.23,1.15,1.3
PI550903,Cameroon,tropical,60,13.03,4.8,1.17,1.09,1.3
PI550904,Cameroon,tropical,61.69,11.49,4.8,1.05,1.2,1.31
PI550905,Cameroon,tropical,61.49,12.04,3.6,1.25,0.99,1.3
PI550906,Cameroon,tropical,62.29,12.42,2.47,1.08,0.95,1.33
PI550907,Cameroon,tropical,63.47,10.77,3.09,0.84,0.99,1.34
PI550911,Cameroon,tropical,59.2,13.08,4.21,0.94,1.06,1.32
PI550920,Cameroon,tropical,62.33,10.39,5.04,0.98,1.09,1.31
PI550922,Cameroon,tropical,64.78,10.74,2.42,1.57,0.98,1.28
PI561602,Cameroon,tropical,65.13,12.71,3.21,0.69,1.07,1.35
PI561605,Cameroon,tropical,59.8,13.34,5,1.18,1.08,1.29
PI561609,Cameroon,tropical,61.62,12.69,3.74,1.27,0.95,1.3
PI561613,Cameroon,tropical,65.74,11.59,3.4,1.32,1.13,1.31
PI595530,"Mexico, Federal District",tropical,64.83,11.12,3.42,1.18,1.21,1.32
PI595537,"Mexico, Federal District",tropical,63.75,11.86,2.6,0.94,1.17,1.33
PI595546,"Mexico, Federal District",tropical,60.79,13.71,2.64,1.26,0.87,1.3
PI595555,"Mexico, Federal District",tropical,62.01,12.6,4.49,0.58,1.06,1.35
PI595561,"Mexico, Federal District",tropical,62.27,12.31,4.03,0.72,1.12,1.35
PI595565,"Mexico, Federal District",tropical,60.25,13.4,3.38,0.76,1.06,1.34
PI595566,"Mexico, Federal District",tropical,64.2,13.05,3.1,1.12,1.18,1.32
PI595571,"Mexico, Federal District",tropical,63.6,13.36,2.58,0.8,0.96,1.34
PI635123,Nigeria,tropical,81.31,11.13,2.25,0.61,0.29,1.51
PI635125,Nigeria,tropical,63.19,12.57,4.34,0.91,1.02,1.33
PI635126,Nigeria,tropical,61.34,15.09,2.14,1.04,0.87,1.33
PI635128,Nigeria,tropical,63.9,12.66,1.54,0.52,0.69,1.37
PI635129,Nigeria,tropical,58.21,17.15,3.17,0.57,0.94,1.35
PI635130,Nigeria,tropical,64.4,11.32,3.3,1.04,0.75,1.32
PI635132,Nigeria,tropical,68.56,14.94,0.39,0.05,0.4,1.42
PI635133,Nigeria,tropical,65.45,12.71,0.77,0.58,0.66,1.37
PI635135,Nigeria,tropical,64.04,11.8,4.26,0.56,1.04,1.35
PI635136,Nigeria,tropical,61.09,13.46,3.65,1.32,0.86,1.29
PI635141,Nigeria,tropical,62.54,14.66,2.57,0.28,0.78,1.38
PI639927,"Nigeria, Oyo",tropical,64.74,12.18,2.71,1.7,0.98,1.28
PI639928,"Nigeria, Oyo",tropical,64.49,13.08,0.65,0.83,0.64,1.35
PI639930,"Nigeria, Oyo",tropical,63.02,11.53,4.44,1.38,1.07,1.28
PI639932,"Nigeria, Oyo",tropical,64.78,12.44,3.26,0.31,0.91,1.37
PI639938,"Nigeria, Oyo",tropical,62.96,17.51,1.31,0.09,0.89,1.41
PI639939,"Nigeria, Oyo",tropical,60.16,11.32,0.78,0.68,0.85,1.36
PI639940,"Nigeria, Oyo",tropical,63.32,12.46,3.57,0.83,0.86,1.33
PI639943,"Nigeria, Oyo",tropical,66.61,12,2.01,0.39,0.87,1.37
PI639949,"Nigeria, Oyo",tropical,64.49,12.42,3.34,1.2,0.92,1.31
PI639950,"Nigeria, Oyo",tropical,65.85,12.78,5.21,0.43,0.84,1.34
PI641061,Nigeria,tropical,65.09,15.53,0.75,0.04,0.75,1.41
PI641062,Nigeria,tropical,65.38,12.58,2.3,0.95,0.96,1.34
PI641063,Nigeria,tropical,67.5,13.7,0.95,0.59,0.74,1.37
PI641064,Nigeria,tropical,66.9,13.98,0.38,0.51,0.75,1.38
PI641065,Nigeria,tropical,62.89,11.15,5.34,0.85,1.01,1.32
PI641068,Nigeria,tropical,63.41,11.8,4.36,0.74,1.06,1.33
PI641070,Nigeria,tropical,61.93,16.17,1.44,0.47,0.73,1.37
PI641071,Nigeria,tropical,60.32,18.75,0.77,0.13,0.59,1.43
PI641074,Nigeria,tropical,58.41,15.45,3.77,1.16,1.01,1.3
PI641075,Nigeria,tropical,61.67,13.17,4.14,1.34,1.06,1.29
PI641251,Nigeria,tropical,64.9,11.6,3.1,1.19,0.99,1.32
PI641252,Nigeria,tropical,63.45,11.69,3.68,1.06,0.87,1.31
PI641253,Nigeria,tropical,65.69,9.97,4.12,0.96,0.97,1.32
PI641254,Nigeria,tropical,67.43,10.11,2.85,0.71,0.96,1.35
PI641257,Nigeria,tropical,64.44,11.75,3.09,0.97,0.88,1.33
PI641258,Nigeria,tropical,65.86,10.4,3.33,1.55,0.96,1.28
PI641259,Nigeria,tropical,65.64,11.98,1.77,0.83,0.86,1.34
PI641260,Nigeria,tropical,66.1,12.37,2.49,0.62,0.93,1.36
PI641262,Nigeria,tropical,65.385,11.03,2.59,0.96,0.85,1.33
PI641263,Nigeria,tropical,61.51,13.39,3.02,0.92,0.82,1.32
PI641264,Nigeria,tropical,67.17,11.23,2.09,1.06,1.02,1.33
PI641265,Nigeria,tropical,64.43,12.8,1.78,1.4,0.89,1.3
Ames10250,"US, Georgia",unclassified,65.43,12.25,2.78,1.06,1.11,1.33
Ames10252,"US, Georgia",unclassified,62.98,13.04,3.28,1.32,1.1,1.31
Ames10259,"US, Georgia",unclassified,66.06,10.93,3.37,1.08,1.01,1.31
Ames10261,"US, Georgia",unclassified,58.7,16.05,3.93,0.46,1.01,1.36
Ames10263,"US, Louisiana",unclassified,62.11,11.85,5.66,1.15,1.2,1.3
Ames10276,"US, South Carolina",unclassified,63.76,12.95,3.43,0.6,0.97,1.35
Ames12728,"US, North Carolina",unclassified,63.9,12.9,3.55,0.63,0.97,1.35
Ames12729,"US, North Carolina",unclassified,62.29,14.1,1.95,0.76,0.86,1.35
Ames12731,"US, North Carolina",unclassified,62.66,11.25,5.56,1.02,1.21,1.31
Ames12735,"US, North Carolina",unclassified,65.37,11.13,3.81,0.88,1.11,1.34
Ames12817,"US, Nebraska",unclassified,66.75,9.71,2.89,1.16,0.88,1.31
Ames12820,"US, Nebraska",unclassified,65.37,10.44,3.85,0.94,0.99,1.33
Ames12822,"US, Nebraska",unclassified,65.41,10.59,3.65,1.15,1.05,1.32
Ames14114,"US, Virginia",unclassified,59.84,14.03,3.32,1.39,0.85,1.28
Ames18999,"US, Alabama",unclassified,61.62,13.7,4.21,0.9,1.13,1.32
Ames19001,"US, Virginia",unclassified,64.48,11.12,4.47,1.31,1.19,1.3
Ames19003,"US, Virginia",unclassified,63.36,11.88,4.01,0.93,1.05,1.33
Ames19004,"US, Virginia",unclassified,63.84,11.31,4.56,1.71,1.18,1.26
Ames19012,"US, Virginia",unclassified,61.43,14.36,4.27,1.28,1.3,1.3
Ames19013,"US, Virginia",unclassified,63.4,11.96,3.99,1.12,1.09,1.31
Ames19314,US,unclassified,64.26,11.54,2.56,1.3,0.96,1.3
Ames19323,"US, Ohio",unclassified,61.58,12.59,5.26,1.07,1.23,1.31
Ames19326,"US, Illinois",unclassified,61.67,13.09,4.44,1.64,1.24,1.27
Ames19328,"US, Virginia",non-stiff stalk,57.71,15.09,5.25,0.81,1.19,1.32
Ames19330,"US, Wisconsin",unclassified,63.21,13.14,3.65,1.03,1.2,1.33
Ames20118,"US, Missouri",unclassified,62.71,13.36,2.92,1.11,1.01,1.31
Ames20140,"US, Minnesota",unclassified,61.61,13.22,3.17,1.44,1.01,1.29
Ames20190,"Canada, Manitoba",unclassified,62.2,14.49,3.23,1.39,1.31,1.3
Ames21095,"US, North Carolina",unclassified,63.96,11.97,3.81,0.4,1.11,1.37
Ames21512,"US, Iowa",unclassified,57.45,15.57,4.41,1.39,1.06,1.28
Ames22439,"US, Minnesota",unclassified,64.8,11.87,2.56,1.28,1.12,1.32
Ames22754,"US, Kansas",unclassified,60.23,13.85,4.46,0.64,1.15,1.34
Ames22762,"US, Texas",unclassified,61.27,13.13,3.93,1.91,1.23,1.25
Ames22766,"US, Texas",unclassified,61.69,11.15,5.2,1.98,1.24,1.22
Ames22792,"US, Minnesota",unclassified,60.93,13.33,4.49,0.66,1.14,1.35
Ames2328,China,unclassified,63.67,11.97,3.41,1.01,1.05,1.33
Ames2331,China,unclassified,61.85,13,2.99,1.23,1.02,1.31
Ames23389,"US, Minnesota",unclassified,62.83,12.04,4.32,1.48,1.17,1.29
Ames2339,China,unclassified,64.9,11.58,3.2,1.02,0.98,1.32
Ames23396,"US, Minnesota",unclassified,61.46,11.69,4.14,1.31,1.01,1.29
Ames23398,"US, Minnesota",unclassified,60.61,14.84,3.66,1.24,1.3,1.31
Ames23399,"US, Minnesota",unclassified,60.63,13.2,3.36,1.37,0.96,1.29
Ames2340,China,unclassified,62.97,13.19,3.08,0.96,1,1.32
Ames23401,"US, Minnesota",unclassified,55.7,15.73,4.22,1.7,1.03,1.26
Ames23404,"US, Minnesota",unclassified,59.08,14.72,4.05,1.41,1.16,1.29
Ames23405,"US, Minnesota",unclassified,65.43,11.91,1.86,1.32,1,1.31
Ames23407,"US, Minnesota",unclassified,61.6,12.78,3.47,1.4,1.03,1.29
Ames23413,"US, Minnesota",unclassified,59.65,13.56,3.85,1.37,1.02,1.29
Ames23414,"US, Minnesota",unclassified,61.9,14.43,2.98,1.41,1.25,1.3
Ames23415,"US, Minnesota",unclassified,63.53,11.83,3.74,1.29,1.16,1.3
Ames23419,"US, Minnesota",unclassified,61.83,13.47,3.86,1,1.21,1.32
Ames23420,"US, Minnesota",unclassified,60.05,13.44,4.86,1,1.2,1.32
Ames23422,"US, Minnesota",unclassified,64.12,12.94,2.88,1.16,1.18,1.32
Ames23423,"US, Minnesota",unclassified,62.4,12.96,3.33,1.14,1.12,1.32
Ames23424,"US, Minnesota",unclassified,58.61,14.59,4.83,1.16,1.18,1.3
Ames23425,"US, Minnesota",unclassified,60.97,14.06,3.35,1.73,1.27,1.27
Ames23426,"US, Minnesota",unclassified,62.91,14.32,2.71,1.46,1.32,1.3
Ames23431,"US, Minnesota",unclassified,61.33,12.61,2.9,1.14,0.93,1.31
Ames23433,"US, Minnesota",unclassified,60.5,12.38,4.97,1.25,1.2,1.29
Ames23440,"US, Minnesota",unclassified,61.98,13.4,3.93,1.32,1.22,1.3
Ames23442,"US, Minnesota",unclassified,59.75,14.41,4.94,1.27,1.32,1.3
Ames23443,"US, Minnesota",unclassified,63.04,12.84,4.08,1.23,1.17,1.3
Ames23444,"US, Minnesota",unclassified,59.79,14.02,4.68,1.5,1.21,1.27
Ames23449,"US, Minnesota",unclassified,62.72,13.88,3.94,1.42,1.36,1.3
Ames23450,"US, Minnesota",unclassified,64.24,10.9,3.3,1.83,1.06,1.27
Ames23455,"US, Minnesota",unclassified,62.69,13.39,2.99,1.41,1.2,1.3
Ames23465,"US, Minnesota",unclassified,63.52,12.22,3.86,1.51,1.21,1.28
Ames23466,"US, Minnesota",unclassified,63.41,12.79,3.21,2.08,1.29,1.24
Ames23467,"US, Minnesota",unclassified,61.61,13.19,3.5,1.23,1.08,1.31
Ames23474,"US, Minnesota",unclassified,58.27,15.28,3.53,1.47,1.03,1.28
Ames23475,"US, Minnesota",unclassified,62.32,14.47,2.72,1.09,1.18,1.32
Ames23476,"US, Minnesota",unclassified,65.49,12.25,2.77,1.23,1.15,1.32
Ames23480,"US, Minnesota",unclassified,61.83,12.67,4.38,1.35,1.19,1.3
Ames23492,"US, Minnesota",unclassified,61.82,13.36,3.24,1.31,1.27,1.3
Ames23493,"US, Minnesota",unclassified,63.68,11.37,3.11,1.71,1.11,1.27
Ames23497,"US, Minnesota",unclassified,62.84,13.41,3.17,0.87,1.18,1.34
Ames23498,"US, Minnesota",unclassified,64.52,11.96,2.42,1.09,1.1,1.32
Ames23500,"US, Minnesota",unclassified,60.98,15.73,2.31,0.91,1.17,1.34
Ames23505,"US, Minnesota",unclassified,61.73,14.48,2.6,1.32,1.19,1.31
Ames23506,"US, Minnesota",unclassified,59.69,14.63,4.08,0.69,1.03,1.34
Ames23923,"US, Texas",unclassified,61.13,12.87,4.4,0.77,1.16,1.33
Ames23924,"US, Texas",unclassified,59.39,13.28,5.02,1.21,1.08,1.29
Ames24585,"Canada, Ontario",unclassified,62.23,13.21,3.24,1.19,1.06,1.31
Ames24706,"US, Michigan",unclassified,60.91,14.49,3.27,1.32,1.15,1.3
Ames24708,"US, Michigan",unclassified,59.32,13.64,5.47,1.53,1.26,1.27
Ames24710,"US, Michigan",unclassified,63.79,12.26,3.53,1,1.08,1.33
Ames24713,"US, Michigan",unclassified,61.73,12.4,3.28,1.18,1.14,1.31
Ames24716,"US, Michigan",unclassified,59.59,14.09,3.45,1.2,1,1.3
Ames24717,"US, Michigan",unclassified,62.44,12.91,3.02,1.58,1.08,1.28
Ames24719,"US, Michigan",unclassified,62.22,12.72,3.28,1.28,1.1,1.3
Ames24722,"US, Michigan",unclassified,62.13,13.49,3.22,1.7,1.12,1.27
Ames24725,"US, Michigan",unclassified,65.1,11.02,3.18,1.2,1.07,1.31
Ames24727,"US, Michigan",unclassified,57.48,15.82,4.47,1.06,1.21,1.3
Ames24729,"US, Michigan",unclassified,64.02,12.45,2.93,0.93,1.07,1.33
Ames24734,"US, Michigan",unclassified,66.26,9.85,3.01,1.49,1.09,1.29
Ames24736,"US, Michigan",unclassified,65.18,11.05,2.22,1.48,1.04,1.29
Ames24740,"US, Michigan",unclassified,58.99,13.2,5.81,1.15,1.16,1.29
Ames24744,"US, Michigan",unclassified,62.87,12.51,3.93,1.08,1.16,1.31
Ames24745,"US, Michigan",unclassified,62.99,12.48,2.36,1.43,0.99,1.29
Ames24751,"US, Michigan",unclassified,62.84,11.88,3.41,1.03,1.03,1.32
Ames25373,"US, Pennsylvania",unclassified,62.78,13.69,3.72,1.31,1.27,1.3
Ames26028,"US, Missouri",unclassified,62.11,12.76,3.63,1.39,1.21,1.29
Ames26115,"US, Missouri",unclassified,63.77,11.69,4.45,1.6,1.34,1.27
Ames26117,"US, Missouri",unclassified,60.7,13.15,3.78,1.59,1.04,1.27
Ames26121,"US, Missouri",unclassified,58.81,15.68,3.49,1.26,1.14,1.3
Ames26123,"US, Missouri",unclassified,61.86,13.44,3.18,1.17,1.12,1.31
Ames26127,"US, Missouri",unclassified,63.28,11.81,4.59,1,1.16,1.31
Ames26128,"US, Missouri",unclassified,63.16,12.78,3.37,1.39,1.2,1.29
Ames26129,"US, Missouri",unclassified,64.51,13.07,2.55,1.03,1.15,1.33
Ames26130,"US, Missouri",unclassified,64.08,12.78,2.32,0.83,1.1,1.34
Ames26133,"US, Missouri",unclassified,58.26,15.16,5.02,0.78,1.21,1.33
Ames26604,"US, Indiana",unclassified,59.36,14.07,4.7,1.02,1.12,1.31
Ames26745,"US, Iowa",unclassified,62.72,13,3.26,2.14,1.23,1.24
Ames26746,"US, Iowa",unclassified,61.66,12.43,3.36,2.34,1.05,1.22
Ames26770,"US, Indiana",unclassified,64.27,11.6,2.63,1.29,1.1,1.31
Ames26773,"US, Indiana",unclassified,64.84,12.64,3.19,1.41,1.3,1.3
Ames26774,"US, Indiana",unclassified,58.69,13.59,4.19,1.43,0.97,1.28
