Accession,Origin,Group,Starch,Protein,Oil,Fib,Ash,Density
Ames26780,"US, Indiana",unclassified,66.9,10.9,2.64,1.39,1.15,1.31
Ames26782,"US, Indiana",unclassified,60.41,14.59,3.63,1.03,1.06,1.32
Ames26783,"US, Indiana",unclassified,63.51,12.53,3.68,1.63,1.25,1.28
Ames26787,"US, Indiana",unclassified,63.07,13.05,3.15,1.2,1.12,1.32
Ames26788,"US, Indiana",unclassified,58.55,16.72,3.39,0.72,1.1,1.35
Ames26789,"US, Indiana",unclassified,62.16,13.01,4.82,1.33,1.27,1.29
Ames26790,"US, Indiana",unclassified,59.58,14.56,4.74,0.78,1.21,1.33
Ames26791,"US, Indiana",unclassified,63.88,11.72,3.22,1.29,1.08,1.3
Ames26794,"US, Indiana",unclassified,63.55,12.66,3.29,1.09,1.09,1.32
Ames26795,"US, Indiana",unclassified,63.57,10.93,5.52,1.26,1.29,1.29
Ames26797,"US, Indiana",unclassified,61.68,11.37,5.39,1.9,1.14,1.23
Ames26799,"US, Indiana",unclassified,62.45,13.4,2.87,1.08,1.11,1.32
Ames26803,"US, Indiana",unclassified,65.12,12.29,2.79,0.83,0.99,1.34
Ames26804,"US, Indiana",unclassified,62.14,13.46,3.19,0.69,0.92,1.34
Ames26805,"US, Indiana",unclassified,64.77,13.12,2.68,1.27,1.19,1.32
Ames26806,"US, Indiana",unclassified,61.24,14.56,3.57,1.42,1.24,1.29
Ames26909,"US, Missouri",unclassified,58.86,14.67,3.41,1.08,1.12,1.31
Ames27018,"Canada, Ontario",unclassified,65.72,10.93,2.57,1.23,1.02,1.32
Ames27019,"Canada, Ontario",unclassified,60.07,15.01,3.57,1.53,1.17,1.28
Ames27020,"Canada, Ontario",unclassified,64.14,10.54,3.99,1.25,1.04,1.3
Ames27021,"Canada, Ontario",unclassified,64.59,12.45,2.46,1.18,1.01,1.32
Ames27029,"Canada, Ontario",unclassified,65.94,12.06,2.59,1.04,1.12,1.34
Ames27031,"Canada, Manitoba",unclassified,65.41,11.97,2.79,1.5,1.13,1.29
Ames27032,"Canada, Manitoba",unclassified,64.56,13.81,2.25,0.92,1.06,1.34
Ames27034,"Canada, Manitoba",unclassified,63.14,13.05,3.67,1.31,1.18,1.3
Ames27036,"Canada, Manitoba",unclassified,61.28,12.18,5.65,0.87,1.13,1.32
Ames27038,"Canada, Manitoba",unclassified,63.69,11.72,3.67,1.36,1.15,1.3
Ames27039,"Canada, Ontario",unclassified,61.17,13.41,3.15,1.56,0.98,1.28
Ames27040,"Canada, Ontario",unclassified,63.95,13.68,2.66,1.14,1.08,1.32
Ames27041,"Canada, Ontario",unclassified,67.02,11.18,2.08,1.29,1.07,1.32
Ames27042,"Canada, Ontario",unclassified,64.3,13.45,2.26,1.23,1.11,1.32
Ames27043,"Canada, Ontario",unclassified,65.14,11.68,3.12,1.23,1.08,1.32
Ames27044,"Canada, Ontario",unclassified,57,14.63,5.15,1.71,1.16,1.25
Ames27048,"Canada, Ontario",unclassified,62.74,12.64,3.69,1.94,1.1,1.24
Ames27050,"Canada, Ontario",unclassified,62.36,12.66,3.8,0.93,1.07,1.33
Ames27057,"Canada, Ontario",unclassified,62.82,12.23,3.67,1.37,1.14,1.3
Ames27064,South Africa,unclassified,62.19,13.79,2.55,1.36,1.06,1.31
Ames27069,"Canada, Ontario",unclassified,60.46,13.94,4.12,1.15,1.16,1.31
Ames27070,"Canada, Manitoba",unclassified,63.46,13.4,2.86,1.41,1.23,1.31
Ames27105,"Canada, Ontario",unclassified,62.78,13.08,2.55,1.53,1.1,1.3
Ames27106,"Canada, Ontario",unclassified,58.82,14.25,4.5,1.1,1.24,1.31
Ames27107,"Canada, Ontario",unclassified,56.06,16.77,3.49,1.31,1.04,1.3
Ames27108,"South Africa, KwaZulu - Natal",unclassified,57.17,13.86,3.9,1.22,0.87,1.3
Ames27110,"US, North Carolina",unclassified,63.27,10.03,5.53,0.81,1.17,1.33
Ames27111,"US, North Carolina",unclassified,57.06,15.61,3.25,1.11,0.94,1.32
Ames27114,"US, North Carolina",unclassified,62.82,13.23,2.42,1.35,1.12,1.31
Ames27115,"US, Indiana",unclassified,63.48,12.8,2,0.83,0.96,1.34
Ames27116,"US, North Carolina",unclassified,62.12,12.47,3.72,1.53,1.07,1.28
Ames27122,"US, Kansas",unclassified,61.57,13.67,3.38,0.9,1.12,1.33
Ames27135,"US, North Carolina",unclassified,59.8,13.79,2.99,1.17,1.09,1.32
Ames27136,"US, North Carolina",unclassified,60.42,12.37,5.79,1.33,1.21,1.28
Ames27137,"US, North Carolina",unclassified,61.15,12.76,3.95,0.87,1.12,1.34
Ames27139,"US, North Carolina",unclassified,59.18,14.4,4.06,0.99,1.27,1.32
Ames27144,"US, North Carolina",unclassified,65.88,10.77,2.41,1.07,1.01,1.33
Ames27145,"US, North Carolina",unclassified,65.44,11.08,2.92,1.15,1.11,1.32
Ames27148,"US, North Carolina",unclassified,61.28,11.51,4.2,0.88,1.09,1.33
Ames27151,"US, North Carolina",unclassified,64.59,11.32,3.15,0.79,1.15,1.35
Ames27152,"US, North Carolina",unclassified,63.28,13.06,2.51,0.91,1.14,1.34
Ames27153,"US, North Carolina",unclassified,64.17,10.78,3.27,1.18,1.08,1.32
Ames27154,"US, North Carolina",unclassified,64.18,11.58,3.09,1.1,1.16,1.33
Ames27155,"US, North Carolina",unclassified,61.74,12.93,3.81,0.16,1.08,1.38
Ames27156,"US, North Carolina",unclassified,60.63,13.95,4.75,0.39,1.2,1.37
Ames27157,"US, North Carolina",unclassified,62.93,12.05,3.72,0.1,1.09,1.38
Ames27158,"US, North Carolina",unclassified,62.51,12.04,3.33,0.75,1.04,1.35
Ames27159,"US, North Carolina",unclassified,62.85,12.55,3.43,1.32,1.19,1.31
Ames27162,"US, North Carolina",unclassified,61.75,12.59,3.89,0.1,1.06,1.39
Ames27163,"US, North Carolina",unclassified,62.46,12.74,3.87,0.15,1.09,1.38
Ames27164,"US, North Carolina",unclassified,63.46,10.12,4.16,1.33,1.02,1.3
Ames27165,"US, North Carolina",unclassified,65.4,10.28,2.09,1.38,0.89,1.31
Ames27166,"US, North Carolina",unclassified,58.99,13.68,2.6,1.21,1.14,1.31
Ames27167,"US, North Carolina",unclassified,62,12.1,3.6,0.66,1.03,1.35
Ames27168,"US, North Carolina",unclassified,64.59,10.3,3.32,0.66,1.06,1.36
Ames27169,"US, North Carolina",unclassified,64.29,11.09,3.34,0.8,1.06,1.34
Ames27170,"US, North Carolina",unclassified,59.45,13.5,3.73,0.83,0.93,1.33
Ames27173,"US, North Carolina",unclassified,58.97,12.03,5.52,1.16,1.11,1.29
Ames27174,"US, North Carolina",unclassified,65.38,11.34,2.79,0.42,1.07,1.37
Ames27176,"US, North Carolina",unclassified,66.28,10.15,2.66,1.11,1.07,1.32
Ames27177,"US, North Carolina",unclassified,65.1,10.37,3.48,1.58,1.13,1.28
Ames27179,"US, North Carolina",unclassified,66.99,10.81,3.18,0.23,1.1,1.39
Ames27181,"US, North Carolina",unclassified,61.59,11.83,5.05,0.59,1.13,1.35
Ames27182,"US, North Carolina",unclassified,66,10.71,3.07,1.24,1.12,1.31
Ames27187,"US, North Carolina",unclassified,61.86,13.98,3.96,1.96,1.34,1.26
Ames27190,"US, Tennessee",unclassified,61.85,12.19,4.74,1.33,1.32,1.3
Ames27191,"US, North Carolina",unclassified,60.93,12.87,3.42,1.44,1.07,1.28
Ames27192,"US, North Carolina",unclassified,60.06,14.17,3.62,1.07,1.01,1.31
Ames27194,"US, Wisconsin",unclassified,62.27,14.12,3.14,1.76,1.18,1.27
Ames27196,"US, North Carolina",unclassified,62.49,13.78,3.52,1.29,1.12,1.3
Ames27261,"US, North Carolina",unclassified,63.62,13,2.41,0.73,0.89,1.34
Ames28290,"US, North Carolina",unclassified,61.94,14.23,3.61,1.67,1.33,1.28
Ames28291,"US, Hawaii",unclassified,57.35,17.33,3.62,0.91,1.11,1.32
Ames28365,"US, Maryland",unclassified,63.94,10.69,4.1,1.1,1.01,1.31
Ames28367,"US, Virginia",unclassified,62.55,12.42,3,1.45,0.97,1.29
Ames28939,"US, Missouri",unclassified,65.15,10.12,4.27,1.85,1.18,1.25
Ames28983,"US, Iowa",unclassified,58.11,13.53,3.23,1.22,0.97,1.3
Ames29026,"US, Iowa",unclassified,60.27,12.87,2.69,0.99,0.88,1.33
Ames8399,"US, Wisconsin",unclassified,64.2,11.49,3.3,1.19,1.17,1.31
CIze21,US,unclassified,64.6,11.73,2.32,0.91,1.05,1.34
CIze28,US,unclassified,61.29,12.57,4.45,1.15,1.02,1.3
CIze85,US,unclassified,60.48,13.94,2.93,1.5,1.14,1.29
CIze88,US,unclassified,55.19,16.84,3.9,1.19,1.1,1.31
CIze90,US,unclassified,59.2,12.41,5.69,0.92,1.25,1.31
CIze91,US,unclassified,56.27,14.81,5.05,1.21,1.17,1.3
NSL117226,"US, Illinois",unclassified,56.78,13.99,6.24,1.32,1.14,1.27
NSL174429,"US, California",unclassified,62.06,13.5,3.41,1.21,1.02,1.3
NSL197105,"US, Indiana",unclassified,62.48,12.09,3.57,1.09,1.06,1.32
NSL22894,"US, Florida",unclassified,61.05,13.08,3.94,0.87,1.15,1.34
NSL243016,"US, Minnesota",unclassified,63.17,13.28,3.55,1.27,1.18,1.31
NSL29284,"US, Illinois",unclassified,64.87,11.53,2.1,1.32,1.06,1.32
NSL29304,"US, Illinois",unclassified,61.39,12.42,4.57,0.9,1.23,1.33
NSL29305,"US, Illinois",unclassified,63.82,11.67,2.51,1.32,1.07,1.31
NSL29314,"US, Illinois",unclassified,63.12,11.97,2.44,1.3,1,1.31
NSL29317,"US, Illinois",unclassified,60.19,11.36,6.5,1.14,1.18,1.29
NSL30038,"US, Missouri",unclassified,61.48,12.18,4.97,1.17,1.2,1.3
NSL30058,"US, Wisconsin",unclassified,59.46,13.48,3.94,1.03,1.04,1.32
NSL30062,"US, Wisconsin",unclassified,61.38,12.34,4.4,1.43,1.25,1.29
NSL30063,"US, Wisconsin",unclassified,59.85,13.23,3.93,1.1,1.12,1.31
NSL30064,"US, Wisconsin",unclassified,62.44,11.67,3.46,1.36,1.01,1.29
NSL30066,"US, Wisconsin",unclassified,61.37,11.79,4.17,1.41,1.12,1.29
NSL30072,"US, Wisconsin",unclassified,62.67,12.4,3.2,1.27,1.03,1.3
NSL30073,"US, Wisconsin",unclassified,62.25,13.04,3.94,1.31,1.21,1.3
NSL30866,"US, Illinois",unclassified,63.03,13.54,3.24,1.89,1.26,1.27
NSL30867,"US, Illinois",unclassified,62.65,12.75,3.64,0.91,1.13,1.33
NSL30875,"US, Illinois",unclassified,59.62,15.2,3.7,1.14,1.21,1.31
NSL30876,"US, Illinois",unclassified,57.43,11.98,8.28,1.04,1.25,1.28
NSL30877,"US, Illinois",unclassified,56.65,13.78,7.43,1.62,1.43,1.25
NSL30879,"US, Illinois",unclassified,67.2,10.59,2.1,1.05,0.99,1.33
NSL30880,"US, Illinois",unclassified,63.18,13.06,3.47,1.13,1.21,1.32
NSL30890,"US, Illinois",unclassified,63,12.03,3.32,1.1,1,1.32
NSL30891,"US, Illinois",unclassified,63.01,12.58,4.02,1.16,1.18,1.32
NSL30894,"US, Illinois",unclassified,63.85,11.34,4.17,1.08,1.22,1.32
NSL30896,"US, Illinois",unclassified,62.68,12.44,3,1.41,1.1,1.29
NSL30903,"US, Illinois",unclassified,63.89,12.22,2.77,1.05,1.08,1.33
NSL30904,"US, Illinois",unclassified,59.6,13.67,3.95,0.84,1.03,1.33
NSL30905,"US, Illinois",unclassified,63.61,12.25,2.74,1.25,0.99,1.31
NSL30907,"US, Illinois",unclassified,64.82,9.76,4.64,0.81,1.07,1.34
NSL32728,"US, North Dakota",unclassified,64.08,11.39,3.96,1.53,1.21,1.28
NSL32730,"US, North Dakota",unclassified,62.56,13.72,3.16,1.06,1.05,1.33
NSL32739,"US, North Dakota",unclassified,62.38,13.86,2.44,0.36,1.06,1.38
NSL42874,"US, Minnesota",unclassified,61.42,13.71,3.49,1.35,1.17,1.3
NSL42875,"US, Minnesota",unclassified,61.95,12.53,3.81,1.11,1.06,1.31
NSL437871,"Australia, New South Wales",unclassified,64.52,10.77,4.5,0.63,1.01,1.35
NSL437923,"Australia, Queensland",unclassified,63.51,11.57,4.74,2.37,1.31,1.21
NSL437931,"Australia, New South Wales",unclassified,61.08,12.76,4.31,1.92,1.16,1.25
NSL437933,"Australia, New South Wales",unclassified,64.27,11.3,4.16,2.15,1.29,1.24
NSL437935,"Australia, New South Wales",unclassified,60.4,13.07,4.64,2.15,1.19,1.23
NSL437937,"Australia, New South Wales",unclassified,60.27,12.34,4.79,1.96,1.17,1.24
NSL437952,"Australia, Queensland",unclassified,62.78,12.26,3.68,1,1.2,1.33
NSL437959,"Australia, Queensland",unclassified,61.26,12.31,4.1,1.15,1.08,1.31
NSL437960,"Australia, New South Wales",unclassified,66.85,8.93,2.95,1.16,1.08,1.33
NSL437966,"Australia, Queensland",unclassified,64.83,10.58,2.7,1.08,1.07,1.32
NSL437981,"Australia, Queensland",unclassified,66.01,10.25,2.82,1.16,1.09,1.32
NSL437996,"Australia, Queensland",unclassified,62.2,12.12,3.73,1.84,1.16,1.26
NSL438010,"Australia, Queensland",unclassified,64.22,10.64,2.95,1.12,0.95,1.32
NSL438021,"Australia, Queensland",unclassified,64.56,10.78,3.58,1.17,1.18,1.31
NSL438022,"Australia, Queensland",unclassified,65.63,10.63,1.9,1.04,0.95,1.34
NSL438033,"Australia, Queensland",unclassified,62.62,11.83,4.32,2.07,1.3,1.24
NSL438034,"Australia, Queensland",unclassified,62.07,12.14,4.1,1.84,1.17,1.26
NSL438043,"Australia, Queensland",unclassified,61.38,11.74,4.16,0.84,1.14,1.34
NSL53083,"US, South Carolina",unclassified,62.3,11.66,5.57,0.54,1.11,1.34
NSL53094,"US, South Carolina",unclassified,54.36,14.24,6.52,0.96,1.08,1.3
NSL65864,"US, Iowa",unclassified,63.62,11.82,3.64,1.02,0.99,1.32
NSL65865,"US, Iowa",unclassified,64.98,10.66,2.76,1.49,1,1.29
NSL65868,"US, Iowa",unclassified,61.01,14.33,3.44,0.99,1.17,1.33
NSL65873,"US, Iowa",unclassified,63.01,12.36,3.91,0.75,1.09,1.35
NSL67786,"US, Missouri",unclassified,60.1,11.93,5.47,1.04,1.11,1.3
NSL67796,"US, Missouri",unclassified,62.71,10.55,5.02,1.73,1.11,1.25
NSL67797,"US, Missouri",unclassified,59.22,11.99,5.82,1.59,1.09,1.25
NSL67798,"US, Missouri",unclassified,61.75,11.61,4.02,1.97,1.09,1.24
NSL67799,"US, Missouri",unclassified,57.03,13.44,6.06,1.21,1.13,1.29
NSL68211,"US, Ohio",unclassified,62.81,13.92,3.02,1.18,1.17,1.32
NSL75976,"US, Iowa",popcorn,64.09,12.08,2.81,1.22,1.03,1.31
NSL81595,"US, Minnesota",unclassified,63.1,12.4,3.75,0.75,1.09,1.34
NSL81597,"US, Minnesota",unclassified,62.03,12.72,3.05,0.77,1.02,1.34
NSL81599,"US, Minnesota",unclassified,61.65,12.85,3,1.63,1.12,1.28
PI200184,Israel,unclassified,62.53,13.45,3.56,1.32,1.19,1.3
PI200187,Israel,unclassified,62.86,12,4.17,1.33,1.07,1.29
PI221743,"South Africa, Transvaal",unclassified,58.25,14.4,3.57,1.14,1.04,1.3
PI221747,"South Africa, Transvaal",unclassified,64.78,12.51,3.95,2.45,1.28,1.2
PI221750,"South Africa, Transvaal",unclassified,65.99,10.13,4.2,1.28,1.11,1.3
PI257507,"France, Puy - de - Dome",unclassified,56.05,14.55,3.66,1.74,0.86,1.26
PI267169,"Soviet Union, Former",unclassified,63.99,11.55,3.38,1.1,1.24,1.32
PI270297,Argentina,unclassified,60.7,13.05,2.63,0.95,0.96,1.33
PI303925,Spain,unclassified,67.67,9.48,3.25,1.44,1.05,1.29
PI303928,Spain,unclassified,64.45,10.58,3.48,1.02,1.02,1.32
PI303940,Spain,unclassified,59.78,13.83,4.53,1.41,1.12,1.29
PI303943,Taiwan,unclassified,60.19,12.66,4,1.31,0.95,1.28
PI340812,Israel,unclassified,65.15,11.13,3.63,1.09,1.03,1.31
PI340843,"US, Iowa",unclassified,62.03,12.64,4.16,1.04,1.06,1.31
PI340854,"US, Iowa",unclassified,64.28,14.31,1.32,0.67,1.04,1.36
PI340860,"US, Iowa",unclassified,64.09,12.37,1.84,0.94,0.99,1.34
PI340863,"US, Iowa",unclassified,62.98,13.64,1.83,0.83,0.97,1.34
PI343952,Poland,unclassified,64.65,11.49,3.41,1.36,0.98,1.29
PI343953,Poland,unclassified,62.89,12.46,3.74,1.16,1.09,1.31
PI369438,Poland,unclassified,65.18,11.73,2.92,0.87,1.17,1.34
PI369446,Poland,unclassified,61.39,15.09,2.99,1.21,1.17,1.31
PI391672,"China, Shaanxi",unclassified,63.49,12.4,3.8,0.69,1.06,1.34
PI406106,"South Africa, KwaZulu - Natal",unclassified,64.99,12.01,3.33,0.76,1.04,1.35
PI406107,"South Africa, KwaZulu - Natal",unclassified,65.82,10.67,3.69,0.92,1.16,1.33
PI406128,"South Africa, KwaZulu - Natal",unclassified,65.48,11.18,3.01,1.41,1.13,1.3
PI415079,Hungary,unclassified,66.13,10.56,3.03,1.28,0.91,1.3
PI415082,Hungary,unclassified,65.25,12.58,2.65,0.6,1.09,1.36
PI459078,China,unclassified,64.73,10.94,3.78,1.05,1.12,1.32
PI506411,"US, Oklahoma",unclassified,57.34,12.14,7.22,0.94,1.06,1.28
PI508277,"US, South Dakota",unclassified,62.5,13,3.23,1.44,1.12,1.29
PI511315,"US, Georgia",unclassified,62.15,12.41,4.68,0.98,1.18,1.32
PI518660,"US, South Dakota",unclassified,62.55,12.47,2.87,1.47,0.98,1.29
PI520770,"US, Wisconsin",unclassified,64.32,12.18,2.93,1.15,0.94,1.31
PI520771,"US, Wisconsin",unclassified,63.99,12.01,3.01,1.49,0.99,1.28
PI520772,"US, Wisconsin",unclassified,63.19,11.57,2.85,1.43,0.91,1.29
PI522250,"US, North Dakota",unclassified,65.06,13.27,1.98,0.96,1.07,1.34
PI522252,"US, North Dakota",unclassified,62.59,13.61,2.24,1.56,1,1.28
PI531084,"US, North Carolina",unclassified,61.47,11.27,3.76,1.06,1.02,1.32
PI531085,"US, North Carolina",unclassified,61.13,11.91,3.27,1.6,0.99,1.28
PI535914,Poland,unclassified,62.72,12.49,3.46,0.91,1.23,1.33
PI535920,Poland,unclassified,61.24,13.1,3.73,0.96,1.01,1.32
PI535921,Poland,unclassified,65.11,12.87,2.28,1.42,1.09,1.3
PI535925,Poland,unclassified,64.15,12.61,3.93,0.61,1.2,1.35
PI535926,Poland,unclassified,59.7,13.84,4.66,1.65,1.21,1.26
PI537101,"US, Indiana",unclassified,63.46,13.4,2.56,1.39,1.09,1.3
PI538008,"US, Iowa",unclassified,63.38,12.54,2.87,1.23,1.13,1.32
PI538010,"US, Iowa",unclassified,62.77,12.36,3.99,1.41,1.21,1.3
PI538229,"US, South Dakota",unclassified,63.67,12.23,2.66,1.67,1.09,1.28
PI538237,"US, South Dakota",unclassified,63.11,12.93,2.78,1.05,1.16,1.33
PI538238,"US, South Dakota",unclassified,64.79,11.69,3.06,0.93,1.1,1.33
PI539920,"US, Minnesota",unclassified,62.74,11.64,3.66,1.28,1.18,1.31
PI539921,"US, Minnesota",unclassified,63.35,11.14,4.08,1.53,1.18,1.29
PI539925,"US, Iowa",unclassified,64.45,12.11,2.24,1.34,1.14,1.31
PI539930,"US, Minnesota",unclassified,60.15,13.51,4.76,0.89,1.16,1.33
PI542716,"US, Nebraska",unclassified,62.01,14.18,2.28,0.92,0.97,1.33
PI542948,"US, Tennessee",unclassified,65.4,10.97,1.89,1.36,1.05,1.31
